%Distancia,Elevacion
2529.1,565.55
2533.7,565.464
2538.3,565.325
2542.9,565.253
2547.4,565.145
2552,564.985
2556.6,564.774
2561.2,564.36
2565.8,563.489
2570.4,562.357
2575,561.417
2579.6,561.094
2584.2,561.057
2588.8,561.308
2593.3,561.846
2597.9,562.671
2602.5,563.783
2607.1,565.047
2611.7,564.743
2616.3,564.686
2620.9,564.89
2625.5,565.355
2630.1,566.082
2634.7,567.069
2639.2,568.318
2643.8,568.761
2648.4,568.757
2653,568.648
2657.6,567.883
2662.2,566.586
2666.8,565.106
2671.4,563.444
2676,561.645
2680.6,560.067
2685.1,558.776
2689.7,557.772
2694.3,557.056
2698.9,556.626
2703.5,556.217
2708.1,554.758
2712.7,550.484
2717.3,546.41
2721.9,542.623
2726.5,539.124
2731,535.911
2735.6,532.986
2740.2,530.348
2744.8,528.503
2749.4,526.863
2754,525.547
2758.6,524.368
2763.2,523.241
2767.8,522.167
2772.4,521.144
2776.9,520.58
2781.5,521.452
2786.1,522.115
2790.7,522.569
2795.3,522.814
2799.9,523.266
2804.5,524.166
2809.1,525.092
2813.7,527.764
2818.3,531.13
2822.8,534.862
2827.4,538.959
2832,543.421
2836.6,548.249
2841.2,553.443
2845.8,557.131
2850.4,557.598
2855,558.196
2859.6,558.924
2864.2,559.782
2868.7,560.772
2873.3,561.891
2877.9,563.214
2882.5,565.727
2887.1,568.448
2891.7,571.379
2896.3,574.261
2900.9,576.886
2905.5,579.303
2910.1,581.51
2914.6,583
2919.2,584.269
2923.8,585.59
2928.4,586.963
2933,588.388
2937.6,589.866
2942.2,591.37
2946.8,593.011
2951.4,595.056
2956,597.128
2960.5,599.225
2965.1,601.349
2969.7,603.499
2974.3,605.675
2978.9,607.877
2983.5,609.266
2988.1,610.538
2992.7,612.116
2997.3,613.918
3001.9,615.929
3006.4,618.149
3011,620.578
3015.6,623.753
3020.2,627.526
3024.8,631.43
3029.4,635.463
3034,639.628
3038.6,643.989
3043.2,648.433
3047.8,652.737
3052.3,656.32
3056.9,659.876
3061.5,663.406
3066.1,666.91
3070.7,670.387
3075.3,673.839
3079.9,677.265
3084.5,678.977
3089.1,679.842
3093.7,680.786
3098.2,681.807
3102.8,682.908
3107.4,684.086
3112,685.343
